0,1,2,3,4,5,6,7,8,chain_break_fraction,energy,num_occurrences
1,1,0,1,1,1,0,1,0,0.0,-3.4849923123283655,788
0,0,1,0,0,0,1,0,1,0.0,-3.4800000000000004,1173
0,0,1,0,0,0,0,0,1,0.0,-3.0700000000000003,12
1,1,0,1,1,1,1,1,0,0.0,-3.066793236557643,10
1,0,1,1,0,0,0,0,1,0.0,-2.797887910375109,2
0,1,0,0,1,1,1,1,0,0.0,-2.78277729297541,2
1,1,0,1,1,1,0,0,1,0.0,-2.6323201580685316,4
0,0,1,0,0,0,1,1,0,0.0,-2.6218385777143336,4
0,0,1,0,1,1,1,1,0,0.0,-2.1279715983208574,1
0,0,1,0,1,1,0,1,0,0.0,-1.9061330206065241,1
1,1,0,1,0,1,0,1,0,0.0,-1.8192242602961082,1
0,0,1,0,1,0,1,0,1,0.0,-1.81,1
1,1,1,1,1,0,0,1,0,0.0,-1.1727361187232412,1
